# Nikon D750 Capabilities (Merged, Deduplicated)
# Source: CameraCapabilities.txt, D750Capabilities.txt, D750Capabilities2.txt
# Note: Lines consolidated and duplicate entries removed.

ID: kNkMAIDCapability_WBGainRed, Description: White Balance Gain Red, Type: kNkMAIDCapType_Range, Operations: kNkMAIDCapOperation_Get
ID: kNkMAIDCapability_WBGainBlue, Description: White Balance Gain Blue, Type: kNkMAIDCapType_Range, Operations: kNkMAIDCapOperation_Get
ID: kNkMAIDCapability_IsoControl, Description: ISO Control, Type: kNkMAIDCapType_Boolean, Operations: 22
ID: kNkMAIDCapability_NoiseReduction, Description: Noise Reduction, Type: kNkMAIDCapType_Boolean, Operations: 22
ID: kNkMAIDCapability_InternalSplMode, Description: Internal Spl Mode, Type: kNkMAIDCapType_Enum, Operations: 14
ID: kNkMAIDCapability_EnableComment, Description: Enable Comment, Type: kNkMAIDCapType_Boolean, Operations: 22
ID: kNkMAIDCapability_ResetMenuBank, Description: Reset Menu Bank, Type: kNkMAIDCapType_Process, Operations: 0
ID: kNkMAIDCapability_ShootingMode, Description: Shooting Mode, Type: kNkMAIDCapType_Enum, Operations: 10
ID: kNkMAIDCapability_LockFV, Description: FV Lock, Type: kNkMAIDCapType_Boolean, Operations: kNkMAIDCapOperation_Get
ID: kNkMAIDCapability_RemainContinuousShooting, Description: Remain Continuous Shooting Count, Type: kNkMAIDCapType_Unsigned, Operations: 18
ID: kNkMAIDCapability_WBPresetName, Description: WB Preset Name, Type: kNkMAIDCapType_Array, Operations: 14
ID: kNkMAIDCapability_FmmManual, Description: Fmm Manual, Type: kNkMAIDCapType_Enum, Operations: 14
ID: kNkMAIDCapability_F0Manual, Description: F0 Manual, Type: kNkMAIDCapType_Enum, Operations: 14
ID: kNkMAIDCapability_FlashSyncTime, Description: Flash Sync Time, Type: kNkMAIDCapType_Enum, Operations: 14
ID: kNkMAIDCapability_WBPresetData, Description: White balance Preset Data, Type: kNkMAIDCapType_Generic, Operations: 6
ID: kNkMAIDCapability_ContinuousShootingNum, Description: Continuous Shooting Num, Type: kNkMAIDCapType_Unsigned, Operations: 22
ID: kNkMAIDCapability_EnableBracketing, Description: Enable Bracketing, Type: kNkMAIDCapType_Boolean, Operations: 22
ID: kNkMAIDCapability_BracketingType, Description: Bracketing Type, Type: kNkMAIDCapType_Enum, Operations: 10
